"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Naive CD4 T cells","NK cells","CLEC2D","KLRB1",0.126314062399299,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Regulatory / Activated CD4 T cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CD44",0.126102546635455,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MAIT / CD161-like T cells","Conventional Dendritic Cells","MIF","CD74_CXCR4",0.125712061846055,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Naive B cells","Naive B cells","CD99","CD99",0.125675267976275,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Naive B cells","HLA-E","KLRK1",0.125185488822799,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK-like cells","MAIT / CD161-like T cells","CD69","KLRB1",0.124963965091927,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Gamma-delta Cytotoxic T cells","NK cells","CD22","PTPRC",0.124844173935991,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Gamma-delta Cytotoxic T cells","PTPRC","CD22",0.124844173935991,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"Regulatory / Activated CD4 T cells","Monocytes","MIF","CD74_CD44",0.124584928420228,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"C1Q+ Monocytes","Gamma-delta Cytotoxic T cells","ADGRE5","CD55",0.123816115911229,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.123709401991612,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Naive CD4 T cells","NK cells","CD69","KLRB1",0.123673415410571,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Monocytes","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.123602295842406,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Classical Monocytes","NK cells","HLA-E","KLRK1",0.12349128248045,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"MAIT / CD161-like T cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CD44",0.122782081269315,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Monocytes","Conventional Dendritic Cells","APP","CD74",0.12258892287643,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Monocytes","Myeloid cells","NAMPT","ITGA5_ITGB1",0.12205971931974,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Platelets","Classical Monocytes","THBS1","CD36",0.1220595652179,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Conventional Dendritic Cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.121989203144199,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"NK cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.121958538593073,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Conventional Dendritic Cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.121908537187574,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"NK cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.121877890098841,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"NK-like cells","C1Q+ Monocytes","ADGRE5","CD55",0.121601485820867,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Regulatory / Activated CD4 T cells","C1Q+ Monocytes","MIF","CD74_CD44",0.121583835795993,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Regulatory / Activated CD4 T cells","Naive B cells","HLA-E","KLRK1",0.121499060106036,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"MAIT / CD161-like T cells","Monocytes","MIF","CD74_CD44",0.121298877481366,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Regulatory / Activated CD4 T cells","Plasma cells","MIF","CD74_CD44",0.121212967488933,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Myeloid cells","Gamma-delta Cytotoxic T cells","APP","CD74",0.120816660694287,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Regulatory / Activated CD4 T cells","NK cells","CLEC2D","KLRB1",0.120675349658592,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"NK cells","MAIT / CD161-like T cells","HLA-B","CD8A",0.120600744472677,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","C1Q+ Monocytes","HLA-DRA","CD4",0.120521336175789,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.120073340002697,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Naive B cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.119993767782009,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Classical Monocytes","Platelets","ITGB2","CD226",0.119821351346784,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"NK-like cells","Myeloid cells","ADGRE5","CD55",0.119387644118202,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Naive B cells","MAIT / CD161-like T cells","HLA-B","CD8A",0.118608314944126,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Plasma cells","APP","CD74",0.118382597137816,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MAIT / CD161-like T cells","C1Q+ Monocytes","MIF","CD74_CD44",0.118366238735479,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","CLEC2D","KLRB1",0.118320367631433,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Naive CD4 T cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.118246690720762,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Naive CD4 T cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.118168166450858,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"MAIT / CD161-like T cells","Plasma cells","MIF","CD74_CD44",0.118003866621053,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"C1Q+ Monocytes","Platelets","ITGB2","CD226",0.117980341852102,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","C1Q+ Monocytes","ADGRE5","CD55",0.11770805575974,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Plasma cells","NK cells","CD69","KLRB1",0.117633515789735,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
